order_id,customer_id,product_id,order_date,quantity,unit_price,discount,revenue
O011001,C038749,P000166,2027-03-27,3,151.26,0.2,363.02
O011002,C030876,P000331,2025-05-28,2,44.57,0.2,71.31
O011003,C037921,P000463,2022-07-23,1,168.67,0.2,134.94
O011004,C051914,P000015,2022-11-01,5,136.78,0.0,683.9
O011005,C070500,P000077,2024-04-19,1,451.17,0.1,406.05
O011006,C085147,P000010,2027-04-01,5,54.27,0.2,217.08
O011007,C091093,P000019,2022-11-14,1,136.7,0.0,136.7
O011008,C097312,P000406,2025-11-01,4,120.89,0.0,483.56
O011009,C019666,P000499,2026-12-25,1,154.58,0.2,123.66
O011010,C068350,P000038,2024-03-08,5,419.78,0.2,1679.12
O011011,C094684,P000455,2024-09-08,3,50.75,0.0,152.25
O011012,C065720,P000419,2025-09-18,2,240.3,0.1,432.54
O011013,C048712,P000121,2024-12-22,2,52.81,0.1,95.06
O011014,C088113,P000119,2023-01-30,5,116.86,0.0,584.3
O011015,C055000,P000331,2025-02-18,3,44.57,0.2,106.97
O011016,C062987,P000241,2024-02-26,3,160.48,0.0,481.44
O011017,C081222,P000109,2027-07-05,5,111.76,0.2,447.04
O011018,C031850,P000263,2022-01-25,4,227.31,0.1,818.32
O011019,C006157,P000252,2025-05-23,2,35.37,0.2,56.59
O011020,C066752,P000193,2026-12-17,2,93.93,0.0,187.86
O011021,C039441,P000072,2025-04-30,3,234.93,0.0,704.79
O011022,C019178,P000307,2024-03-24,4,254.53,0.1,916.31
O011023,C098762,P000454,2022-01-16,1,129.66,0.0,129.66
O011024,C028887,P000154,2026-05-21,4,196.97,0.0,787.88
O011025,C060697,P000472,2023-05-20,3,161.25,0.1,435.38
O011026,C025576,P000136,2025-01-23,3,66.76,0.2,160.22
O011027,C060804,P000268,2025-05-03,3,126.06,0.1,340.36
O011028,C011663,P000421,2026-10-26,3,106.2,0.0,318.6
O011029,C022705,P000023,2024-07-11,4,292.92,0.0,1171.68
O011030,C059049,P000428,2027-10-27,1,604.04,0.1,543.64
O011031,C022272,P000376,2025-10-23,3,241.8,0.1,652.86
O011032,C045163,P000162,2023-03-15,5,783.97,0.1,3527.86
O011033,C077515,P000224,2022-08-23,5,79.86,0.1,359.37
O011034,C082293,P000348,2022-12-21,4,507.03,0.2,1622.5
O011035,C099290,P000362,2027-07-13,4,279.2,0.2,893.44
O011036,C010217,P000180,2025-07-02,2,167.4,0.1,301.32
O011037,C028209,P000437,2027-04-19,1,24.86,0.1,22.37
O011038,C005015,P000016,2025-03-09,1,70.4,0.2,56.32
O011039,C017493,P000350,2025-02-12,4,839.37,0.0,3357.48
O011040,C044719,P000152,2025-05-17,4,109.27,0.0,437.08
O011041,C074236,P000227,2025-04-06,1,210.44,0.0,210.44
