order_id,customer_id,product_id,order_date,quantity,unit_price,discount,revenue
O000201,C019294,P000107,2027-07-26,4,477.15,0.0,1908.6
O000202,C008653,P000210,2022-01-10,4,216.36,0.1,778.9
O000203,C051426,P000151,2025-05-06,1,139.77,0.0,139.77
O000204,C045488,P000220,2022-10-02,1,303.67,0.0,303.67
O000205,C075447,P000267,2024-12-18,2,750.92,0.0,1501.84
O000206,C039072,P000181,2025-03-03,1,78.18,0.0,78.18
O000207,C020068,P000193,2026-01-15,5,93.93,0.1,422.69
O000208,C075063,P000109,2026-04-03,3,111.76,0.2,268.22
O000209,C018072,P000310,2024-09-05,5,726.25,0.0,3631.25
O000210,C042407,P000351,2026-08-25,2,259.86,0.0,519.72
O000211,C039879,P000304,2024-05-09,5,82.52,0.2,330.08
O000212,C012759,P000440,2023-09-05,3,482.5,0.2,1158.0
O000213,C045668,P000313,2024-07-08,5,93.23,0.1,419.54
O000214,C011496,P000217,2026-07-02,5,290.29,0.0,1451.45
O000215,C048523,P000308,2023-02-28,4,48.82,0.2,156.22
O000216,C009216,P000494,2028-03-18,1,826.88,0.0,826.88
O000217,C028490,P000484,2024-12-03,4,159.44,0.2,510.21
O000218,C078674,P000403,2022-04-09,1,269.48,0.2,215.58
O000219,C019190,P000263,2024-08-03,5,227.31,0.0,1136.55
O000220,C097275,P000338,2026-08-31,4,64.37,0.1,231.73
O000221,C027190,P000465,2027-03-23,2,446.21,0.2,713.94
O000222,C070482,P000342,2025-10-11,3,238.14,0.1,642.98
O000223,C076510,P000326,2024-04-25,3,91.32,0.1,246.56
O000224,C061087,P000301,2027-07-07,2,445.16,0.0,890.32
O000225,C079327,P000097,2026-06-15,2,68.66,0.1,123.59
O000226,C075648,P000214,2027-01-08,1,72.58,0.0,72.58
O000227,C087533,P000378,2024-01-04,2,239.28,0.0,478.56
O000228,C055168,P000401,2024-03-15,1,370.03,0.2,296.02
O000229,C046562,P000392,2026-06-26,1,275.13,0.0,275.13
O000230,C020256,P000307,2026-02-17,1,254.53,0.2,203.62
O000231,C001428,P000160,2023-08-09,5,409.59,0.0,2047.95
O000232,C054791,P000420,2022-08-28,5,272.9,0.1,1228.05
O000233,C005981,P000479,2022-06-11,5,240.86,0.1,1083.87
O000234,C050882,P000135,2024-06-15,1,837.86,0.0,837.86
O000235,C096262,P000486,2022-05-24,4,170.93,0.1,615.35
O000236,C026794,P000406,2022-06-11,1,120.89,0.0,120.89
O000237,C065198,P000237,2024-11-03,5,227.97,0.2,911.88
O000238,C036692,P000295,2023-10-31,3,42.95,0.2,103.08
O000239,C053606,P000406,2026-07-02,3,120.89,0.1,326.4
O000240,C082686,P000104,2026-08-21,3,801.36,0.2,1923.26
O000241,C039797,P000204,2024-01-03,3,207.07,0.1,559.09
O000242,C014385,P000189,2026-04-20,1,780.07,0.2,624.06
O000243,C062712,P000382,2022-09-27,5,145.13,0.2,580.52
O000244,C028464,P000028,2023-12-14,2,134.62,0.1,242.32
O000245,C057653,P000451,2024-01-21,4,73.18,0.2,234.18
O000246,C054903,P000475,2023-06-28,1,55.05,0.2,44.04
O000247,C018336,P000447,2025-08-28,3,39.23,0.1,105.92
O000248,C022155,P000456,2024-01-25,3,199.91,0.0,599.73
O000249,C003974,P000355,2026-04-17,3,15.81,0.0,47.43
O000250,C058847,P000493,2025-12-25,3,523.74,0.2,1256.98
O000251,C090358,P000259,2025-12-14,2,68.69,0.2,109.9
O000252,C062212,P000482,2027-02-21,4,85.9,0.2,274.88
O000253,C001755,P000302,2023-08-18,1,68.37,0.2,54.7
O000254,C064750,P000419,2023-10-30,1,240.3,0.0,240.3
O000255,C007236,P000340,2024-11-02,4,117.95,0.1,424.62
O000256,C021169,P000289,2024-02-19,2,221.53,0.2,354.45
O000257,C008649,P000249,2021-12-24,4,409.83,0.1,1475.39
O000258,C097029,P000371,2021-12-27,1,215.75,0.2,172.6
O000259,C014301,P000164,2025-11-03,5,74.23,0.1,334.04
O000260,C037357,P000240,2025-08-28,3,76.02,0.2,182.45
O000261,C097181,P000477,2026-09-23,4,103.53,0.2,331.3
O000262,C056697,P000466,2023-12-22,1,249.95,0.2,199.96
O000263,C007528,P000343,2026-10-15,5,210.07,0.0,1050.35
O000264,C032527,P000111,2026-03-03,3,414.39,0.1,1118.85
O000265,C074072,P000073,2026-09-18,2,478.37,0.1,861.07
O000266,C078221,P000327,2023-04-17,2,265.39,0.1,477.7
O000267,C087758,P000109,2027-04-17,5,111.76,0.1,502.92
O000268,C068992,P000100,2026-01-05,1,158.92,0.0,158.92
O000269,C063068,P000246,2022-03-14,2,165.92,0.1,298.66
O000270,C038385,P000288,2024-08-10,1,792.18,0.0,792.18
O000271,C005556,P000329,2022-03-26,1,156.22,0.2,124.98
O000272,C021202,P000392,2024-12-22,1,275.13,0.2,220.1
O000273,C072687,P000271,2026-01-28,4,693.09,0.0,2772.36
O000274,C038323,P000249,2026-09-20,2,409.83,0.0,819.66
O000275,C003351,P000330,2022-10-04,2,317.83,0.2,508.53
O000276,C032338,P000435,2026-04-25,3,203.71,0.2,488.9
O000277,C095188,P000429,2025-10-14,5,29.23,0.2,116.92
O000278,C059476,P000243,2024-10-21,3,152.6,0.0,457.8
O000279,C030658,P000091,2023-11-28,1,252.45,0.1,227.2
O000280,C030925,P000046,2025-12-04,2,173.3,0.1,311.94
O000281,C088914,P000165,2025-01-18,4,35.83,0.0,143.32
O000282,C025340,P000016,2028-01-14,3,70.4,0.2,168.96
O000283,C082333,P000090,2025-05-09,5,272.29,0.0,1361.45
O000284,C065501,P000283,2026-02-17,2,40.95,0.0,81.9
O000285,C079211,P000036,2023-04-28,2,352.62,0.2,564.19
O000286,C022144,P000190,2025-01-01,3,484.45,0.0,1453.35
O000287,C083711,P000154,2024-02-04,2,196.97,0.2,315.15
O000288,C063791,P000301,2024-11-17,3,445.16,0.1,1201.93
O000289,C020653,P000018,2024-08-24,1,94.73,0.1,85.26
O000290,C033460,P000420,2026-11-18,5,272.9,0.2,1091.6
O000291,C053256,P000252,2025-07-15,5,35.37,0.0,176.85
O000292,C069535,P000489,2024-02-03,4,109.03,0.0,436.12
O000293,C088855,P000030,2023-01-22,5,119.58,0.1,538.11
O000294,C002849,P000264,2025-05-02,5,25.1,0.0,125.5
O000295,C011932,P000443,2025-05-09,2,466.38,0.1,839.48
O000296,C099280,P000178,2024-03-28,5,29.0,0.2,116.0
O000297,C040190,P000485,2022-09-07,4,387.88,0.0,1551.52
O000298,C020220,P000085,2024-10-08,4,241.37,0.2,772.38
O000299,C025688,P000443,2023-05-23,2,466.38,0.0,932.76
O000300,C012708,P000358,2022-08-13,1,310.81,0.0,310.81
O000301,C066259,P000015,2023-03-12,2,136.78,0.0,273.56
